,Gender,Age,Annual Income (k$),Spending Score (1-100),Income_Cluster1,Income_Cluster2,Spending_Income_Cluster
0,Male,19,15,39,1,0,4
1,Male,21,15,81,1,0,0
2,Female,20,16,6,1,0,4
3,Female,23,16,77,1,0,0
4,Female,31,17,40,1,0,4
5,Female,22,17,76,1,0,0
6,Female,35,18,6,1,0,4
7,Female,23,18,94,1,0,0
8,Male,64,19,3,1,0,4
9,Female,30,19,72,1,0,0
10,Male,67,19,14,1,0,4
11,Female,35,19,99,1,0,0
12,Female,58,20,15,1,0,4
13,Female,24,20,77,1,0,0
14,Male,37,20,13,1,0,4
15,Male,22,20,79,1,0,0
16,Female,35,21,35,1,0,4
17,Male,20,21,66,1,0,0
18,Male,52,23,29,1,0,4
19,Female,35,23,98,1,0,0
20,Male,35,24,35,1,0,4
21,Male,25,24,73,1,0,0
22,Female,46,25,5,1,0,4
23,Male,31,25,73,1,0,0
24,Female,54,28,14,1,0,4
25,Male,29,28,82,1,0,0
26,Female,45,28,32,1,0,4
27,Male,35,28,61,1,0,0
28,Female,40,29,31,1,0,4
29,Female,23,29,87,1,0,0
30,Male,60,30,4,1,0,4
31,Female,21,30,73,1,0,0
32,Male,53,33,4,4,0,4
33,Male,18,33,92,4,0,0
34,Female,49,33,14,4,0,4
35,Female,21,33,81,4,0,0
36,Female,42,34,17,4,0,4
37,Female,30,34,73,4,0,0
38,Female,36,37,26,4,0,4
39,Female,20,37,75,4,0,0
40,Female,65,38,35,4,0,4
41,Male,24,38,92,4,0,0
42,Male,48,39,36,4,0,4
43,Female,31,39,61,4,0,2
44,Female,49,39,28,4,0,4
45,Female,24,39,65,4,0,0
46,Female,50,40,55,4,0,2
47,Female,27,40,47,4,0,2
48,Female,29,40,42,4,0,2
49,Female,31,40,42,4,0,2
50,Female,49,42,52,4,0,2
51,Male,33,42,60,4,0,2
52,Female,31,43,54,4,0,2
53,Male,59,43,60,4,0,2
54,Female,50,43,45,4,0,2
55,Male,47,43,41,4,0,2
56,Female,51,44,50,4,0,2
57,Male,69,44,46,4,0,2
58,Female,27,46,51,2,0,2
59,Male,53,46,46,2,0,2
60,Male,70,46,56,2,0,2
61,Male,19,46,55,2,0,2
62,Female,67,47,52,2,0,2
63,Female,54,47,59,2,0,2
64,Male,63,48,51,2,0,2
65,Male,18,48,59,2,0,2
66,Female,43,48,50,2,0,2
67,Female,68,48,48,2,0,2
68,Male,19,48,59,2,0,2
69,Female,32,48,47,2,0,2
70,Male,70,49,55,2,0,2
71,Female,47,49,42,2,0,2
72,Female,60,50,49,2,0,2
73,Female,60,50,56,2,0,2
74,Male,59,54,47,2,2,2
75,Male,26,54,54,2,2,2
76,Female,45,54,53,2,2,2
77,Male,40,54,48,2,2,2
78,Female,23,54,52,2,2,2
79,Female,49,54,42,2,2,2
80,Male,57,54,51,2,2,2
81,Male,38,54,55,2,2,2
82,Male,67,54,41,2,2,2
83,Female,46,54,44,2,2,2
84,Female,21,54,57,2,2,2
85,Male,48,54,46,2,2,2
86,Female,55,57,58,5,2,2
87,Female,22,57,55,5,2,2
88,Female,34,58,60,5,2,2
89,Female,50,58,46,5,2,2
90,Female,68,59,55,5,2,2
91,Male,18,59,41,5,2,2
92,Male,48,60,49,5,2,2
93,Female,40,60,40,5,2,2
94,Female,32,60,42,5,2,2
95,Male,24,60,52,5,2,2
96,Female,47,60,47,5,2,2
97,Female,27,60,50,5,2,2
98,Male,48,61,42,5,2,2
99,Male,20,61,49,5,2,2
100,Female,23,62,41,5,2,2
101,Female,49,62,48,5,2,2
102,Male,67,62,59,5,2,2
103,Male,26,62,55,5,2,2
104,Male,49,62,56,5,2,2
105,Female,21,62,42,5,2,2
106,Female,66,63,50,5,2,2
107,Male,54,63,46,5,2,2
108,Male,68,63,43,5,2,2
109,Male,66,63,48,5,2,2
110,Male,65,63,52,5,2,2
111,Female,19,63,54,5,2,2
112,Female,38,64,42,5,2,2
113,Male,19,64,46,5,2,2
114,Female,18,65,48,5,2,2
115,Female,19,65,50,5,2,2
116,Female,63,65,43,5,2,2
117,Female,49,65,59,5,2,2
118,Female,51,67,43,5,2,2
119,Female,50,67,57,5,2,2
120,Male,27,67,56,5,2,2
121,Female,38,67,40,5,2,2
122,Female,40,69,58,0,2,2
123,Male,39,69,91,0,2,3
124,Female,23,70,29,0,2,1
125,Female,31,70,77,0,2,3
126,Male,43,71,35,0,2,2
127,Male,40,71,95,0,2,3
128,Male,59,71,11,0,2,1
129,Male,38,71,75,0,2,3
130,Male,47,71,9,0,2,1
131,Male,39,71,75,0,2,3
132,Female,25,72,34,0,2,2
133,Female,31,72,71,0,2,3
134,Male,20,73,5,0,2,1
135,Female,29,73,88,0,2,3
136,Female,44,73,7,0,2,1
137,Male,32,73,73,0,2,3
138,Male,19,74,10,0,2,1
139,Female,35,74,72,0,2,3
140,Female,57,75,5,0,2,1
141,Male,32,75,93,0,2,3
142,Female,28,76,40,0,2,2
143,Female,32,76,87,0,2,3
144,Male,25,77,12,0,2,1
145,Male,28,77,97,0,2,3
146,Male,48,77,36,0,2,1
147,Female,32,77,74,0,2,3
148,Female,34,78,22,0,2,1
149,Male,34,78,90,0,2,3
150,Male,43,78,17,0,2,1
151,Male,39,78,88,0,2,3
152,Female,44,78,20,0,2,1
153,Female,38,78,76,0,2,3
154,Female,47,78,16,0,2,1
155,Female,27,78,89,0,2,3
156,Male,37,78,1,0,2,1
157,Female,30,78,78,0,2,3
158,Male,34,78,1,0,2,1
159,Female,30,78,73,0,2,3
160,Female,56,79,35,0,2,1
161,Female,29,79,83,0,2,3
162,Male,19,81,5,0,2,1
163,Female,31,81,93,0,2,3
164,Male,50,85,26,6,1,1
165,Female,36,85,75,6,1,3
166,Male,42,86,20,6,1,1
167,Female,33,86,95,6,1,3
168,Female,36,87,27,6,1,1
169,Male,32,87,63,6,1,3
170,Male,40,87,13,6,1,1
171,Male,28,87,75,6,1,3
172,Male,36,87,10,6,1,1
173,Male,36,87,92,6,1,3
174,Female,52,88,13,6,1,1
175,Female,30,88,86,6,1,3
176,Male,58,88,15,6,1,1
177,Male,27,88,69,6,1,3
178,Male,59,93,14,6,1,1
179,Male,35,93,90,6,1,3
180,Female,37,97,32,6,1,1
181,Female,32,97,86,6,1,3
182,Male,46,98,15,6,1,1
183,Female,29,98,88,6,1,3
184,Female,41,99,39,6,1,1
185,Male,30,99,97,6,1,3
186,Female,54,101,24,6,1,1
187,Male,28,101,68,6,1,3
188,Female,41,103,17,6,1,1
189,Female,36,103,85,6,1,3
190,Female,34,103,23,6,1,1
191,Female,32,103,69,6,1,3
192,Male,33,113,8,3,1,1
193,Female,38,113,91,3,1,3
194,Female,47,120,16,3,1,1
195,Female,35,120,79,3,1,3
196,Female,45,126,28,3,1,1
197,Male,32,126,74,3,1,3
198,Male,32,137,18,3,1,1
199,Male,30,137,83,3,1,3
